track,artist,playcount,listeners,mbid,date_fetched
Opalite,Taylor Swift,9953579,592444,0e97f221-a290-477b-89e6-e6aab368d223,2025-12-24 16:58:57.439253
House Tour,Sabrina Carpenter,8416630,597727,6095702d-b48f-46a9-80a3-4f5723fe3b28,2025-12-24 16:58:57.439253
All I Need,Radiohead,37774124,2334080,79067ee1-807a-4e36-a664-5c160df6de58,2025-12-24 16:58:57.439253
CHANEL,Tyla,2137644,271845,a72d8fdb-e12f-439c-b674-f924aab78f86,2025-12-24 16:58:57.439253
Lush Life,Zara Larsson,10045471,1149715,ea31f8e4-9925-40dd-b37d-bd37ef3918c6,2025-12-24 16:58:57.439253
The Subway,Chappell Roan,13992566,851182,3d510771-8760-46bf-b8eb-6b163f7fd1c6,2025-12-24 16:58:57.439253
Espresso,Sabrina Carpenter,51975479,2047167,ef5b2556-66ff-4217-9a7b-170ac3ed3a89,2025-12-24 16:58:57.439253
The Christmas Song (Merry Christmas To You),Nat King Cole,4093025,968026,a2f5b0c0-787a-40e3-9a96-012fba9b58fd,2025-12-24 16:58:57.439253
SPAGHETTI,LE SSERAFIM,30059258,331622,,2025-12-24 16:58:57.439253
LES,Childish Gambino,23635525,1331507,bb5cb487-a780-38f0-b69b-14ed7a652cd0,2025-12-24 16:58:57.439253
Sleigh Ride,The Ronettes,4412565,1047743,,2025-12-24 16:58:57.439253
Happy Xmas (War Is Over) - Remastered 2010,John Lennon,3736266,779410,dc517f67-3e5c-4ca8-98f5-befe8deb1199,2025-12-24 16:58:57.439253
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,3315269,746723,05b4fc6f-d333-4bcd-b919-101871ff5686,2025-12-24 16:58:57.439253
Dreams - 2004 Remaster,Fleetwood Mac,25367456,1836626,248cc9d1-97ea-493e-84d4-4c5ec718683b,2025-12-24 16:58:57.439253
LV Sandals,EsDeeKid,5239952,370556,c817bb5b-6596-4d88-a5c9-b40875aac84b,2025-12-24 16:58:57.439253
Nobody’s Son,Sabrina Carpenter,8260510,602764,,2025-12-24 16:58:57.439253
Sports car,Tate McRae,18647810,815070,62cabe70-9c46-4d9a-899c-91c361b679d8,2025-12-24 16:58:57.439253
Apocalypse,Cigarettes After Sex,39052857,1973736,a847bc14-7d8e-4009-ae3c-e7b60ecc71d3,2025-12-24 16:58:57.439253
Mistletoe,Justin Bieber,5370489,989377,,2025-12-24 16:58:57.439253
